837,678,836,841,846,847,848,844,845,197
1025,1059,1923,1953,1955,1971,2129,3201,3203,3217
58,645,647,652,656,470,559,598,724,1229
58,647,598,645,652,656,724,470,559,59
645,647,652,656,721,724,725,913,678,757
645,647,656,721,724,725,913,652,678,837
58,645,647,652,656,724,470,559,598,1062
58,645,647,652,656,724,470,559,598,1062
58,645,647,652,656,470,559,598,1062,678
58,645,647,652,656,724,470,559,598,1062
58,645,647,652,656,470,559,598,1062,1086
58,645,647,652,656,724,470,559,598,1062
58,645,647,652,656,470,559,598,1062,492
58,645,647,652,656,470,559,598,678,1062
58,645,647,652,656,724,470,559,598,1062
58,645,647,652,656,470,559,598,492,569
58,19,20,2563,2564,2571,2577,2585,2587,2588
721,725,678,757,837,893,913,2188,836,840
1025,470,492,559,569,588,598,1059,1086,348
58,645,647,652,656,721,724,725,805,807
58,645,647,652,656,721,470,559,598,725
647,724,645,652,656,725,803,805,247,726
647,645,652,656,721,724,725,569,588,598
914,919,124,283,284,113,128,127,767,925
470,492,559,569,588,598,645,647,652,656
58,645,647,652,656,721,724,725,678,723
58,645,647,652,656,721,724,725,678,803
1059,1025,820,3235,3651,569,817,819,1923,1955
678,837,845,847,914,919,193,194,197,198
914,919,275,117,123,922,113,276,277,283
1923,3427,1971,2115,2131,3363,3395,659,1921,3233
1059,1025,3651,2883,2947,2963,3009,3059,3075,3107
1025,559,569,588,598,645,647,652,656,3651
